team,extra_point,extra_point_def,field_goal,field_goal_def,kickoff,kickoff_def,punt,punt_def,pass,pass_def,run,run_def,qb_kneel,qb_kneel_def,special_teams,total_offense,total_defense,total
DET,0.039921987841565615,0.013871934089900648,0.4471932528845307,0.18347405303711223,-0.0037223336866413583,-0.8044924506114541,0.11934120975516732,0.7022778738232942,7.629699807697459,3.8297456967200514,2.3986862712486983,0.26481484445720693,-0.49497172603688927,-0.32834125844885526,0.6978655271334753,10.028386078946157,4.094560541177258,14.82081214725689
BAL,0.07415704685488587,-0.10849424113023992,-0.1142468763047542,-0.7513645330468574,-0.20074158592117242,-0.20445699507710782,0.10245229192952873,0.051624031024463654,8.041811933142293,0.41650002079306864,4.6659249185309815,2.324318711831347,-0.1663150525213244,-0.3991447573831729,-1.1510708616712535,12.707736851673275,2.7408187326244158,14.297484722626436
PHI,-0.03430559946530426,0.19677669570276207,-0.617746774010024,0.5769078767732241,-0.05254474434076004,0.3086184110897674,0.22590107815213117,-0.4502172717461059,1.761898688073242,3.9759056354608266,2.9761450381315746,2.521308433156093,-0.3384762176892274,-0.26460347463179185,0.1533896721556905,4.7380437262048165,6.49721406861692,11.388647466977426
BUF,-0.028748634101185926,-0.04296027673715171,-0.40499257963559365,0.38800569292945586,0.3027323569910943,-0.38152360201539337,-0.39119160368290684,0.019610271823214627,6.481370373698505,-0.9938993009268327,3.7742948679953146,1.412326421035197,-0.42633012916623014,-0.11617115973236705,-0.5390683744284667,10.25566524169382,0.41842712010836425,10.135023987373716
GB,0.14967258624679183,0.04170175562465634,-0.5305768643357234,0.008928002756756512,-0.5438780385780373,-0.23269186392443236,0.21029981643217488,-0.8456236834863098,3.9585974367366674,3.060349719863065,1.22946012155675,1.775303641608778,-0.11709411441404265,-0.03319842869661522,-1.7421682892641233,5.188057558293417,4.835653361471843,8.281542630501137
TB,-0.0687498627508252,-0.09485235933480411,0.8064947462849172,0.6732472195516765,-0.1402567328356094,-0.030680355712214794,-0.01763328343044326,0.39631830208084184,5.296497955790435,-1.625966122380499,0.4281994355989311,1.4566410575754878,-0.2611366039957469,-0.1802085501365566,1.5238876738535387,5.724697391389366,-0.1693250648050113,7.079260000437893
DEN,0.12088816732354461,-0.10265898363475559,0.6451673477202831,-0.17442378345458398,0.12698896157445336,-0.053757554813542975,0.44845268676004363,0.005696303632281376,-0.5727745844683977,4.529928038994467,0.06975783541149407,1.1519711531558097,-0.19756279445050126,0.0622618163519191,1.0163531451077237,-0.5030167490569036,5.681899192150277,6.195235588201097
WAS,0.03778886824437886,-0.022098764741014902,-0.23807865927887767,0.5640056913980611,0.19712872455376518,-0.2648389437069224,0.4510480366389504,-0.3653715028138458,3.7791545626584826,-1.8190816418806797,2.971190176887812,-0.39770087189777764,-0.171786734442815,0.042346855586487805,0.3595834502944948,6.7503447395462945,-2.2167825137784574,4.893145676062332
MIN,0.08893533622073695,-0.04691075703410182,-0.2245494271715416,0.665825931416541,-0.3556744958758214,-0.15463548792055537,-0.3181793153573963,-0.2688534735540785,0.5445271908080905,3.0010640214992867,-1.8273465988482032,2.9385695009081303,-0.08014168888474223,-0.04351261705022377,-0.614041689276217,-1.2828194080401127,5.9396335224074175,4.042772425091088
KC,-0.0011169745071057072,0.17937074069798004,0.06327756608346576,0.3009024990391816,0.011766331150175136,-0.1151114250857506,0.3189673966225789,0.07687635543928947,2.6610174437893215,-1.5690807772925477,1.152063163849692,0.7738566170623905,-0.31308500832198194,-0.39560085031555137,0.8349324894398147,3.8130806076390136,-0.7952241602301572,3.852788936848671
LAC,-0.2593325280165657,-0.05112352380794922,0.7595208636941345,0.8382274041282889,0.025129645463992472,-0.1521526436670298,-0.3043121347785464,0.003208744884916558,-0.08621452872100477,2.8018361496098754,-1.1649050530038352,0.35201566886501834,-0.11087063669184377,0.13235565261565277,0.8591658279012413,-1.25111958172484,3.1538518184748936,2.761898064651295
LA,-0.11594015972874241,0.22437968175282133,-0.11521142396054074,-0.5825208542463984,0.16133855873571318,-0.2785251508042175,-0.29339526790532794,0.2504192076248001,3.1191649356482536,1.1569313451253327,-0.788454810234227,-0.8516897837589459,-0.3277736639566491,-0.10132530103583763,-0.7494554085318924,2.3307101254140266,0.3052415613663868,1.8864962782485208
ARI,0.055537991972431894,0.023607239647515176,-0.12391641700313458,-0.515420435168249,0.3413404637224253,-0.33630018776834636,-0.19342567825082538,-0.2600364319477507,3.1410774871394316,-0.5483209183376792,1.5088297413259915,-1.2958031104343686,0.1520806480061805,-0.11504695470210186,-1.0086134547959336,4.649907228465423,-1.8441240287720477,1.797169744897442
PIT,0.07548906212509134,-0.06435155689089989,1.3327665826862796,0.4782561894021204,-0.0829376283788963,-0.0967072144025853,1.2572169860007847,0.3110771143413461,-1.8177416194615854,-0.0831677584565692,-1.3191608622709727,1.3726113198903422,-0.46999930070741847,0.2632989754344133,3.210809534883241,-3.136902481732558,1.2894435614337731,1.3633506145844563
