team,extra_point,extra_point_def,field_goal,field_goal_def,kickoff,kickoff_def,punt,punt_def,pass,pass_def,run,run_def,qb_kneel,qb_kneel_def,special_teams,total_offense,total_defense,total
NE,0.05887227799547346,-0.03149988698331933,-0.21760410674308475,-0.13721950728642315,1.997318478478854,-1.7505151529869947,-0.15880799613108756,0.5077291702459517,11.880049378346456,1.6713677099109383,1.0199446914104842,0.5779723364051039,-0.19706703714634244,0.045953449450041116,0.26827327658936984,12.89999406975694,2.2493400463160422,15.417607392662351
GB,0.051666655474238925,-0.027929534618225362,0.04321170076727867,-0.21544159406589136,1.976576516425444,-1.7384208752928922,-0.12813179143963177,1.478053168228103,5.116879913906774,1.3689870688805563,-1.3152757006833176,2.5442278733502866,-0.059899455784923505,0.006870692306094699,1.439584245478424,3.801604213223457,3.9132149422308427,9.154403400932724
IND,-0.06933437397374827,-0.031237658003673834,-0.8376944642294856,0.567180768970181,1.7317219941274207,-2.194004459284684,-0.5402987465317197,0.7038460946915781,6.35897655468434,0.005860848502968164,0.5489380665780866,1.9566430888796111,-0.18661438244230608,0.12797682381728115,-0.6698208442341318,6.907914621262427,1.9625039373825792,8.200597714410875
LAC,-0.013744307583884188,-0.030057589788185922,-0.049273899668141406,0.9193612940217321,1.538486787485645,-1.4352773298558437,0.2992422978736852,0.7717176914386648,1.448920259146804,2.9672912837569845,-1.299128079732978,2.6996974096658004,-0.05245043368715989,0.057299273265035526,2.000454943923672,0.14979217941382594,5.666988693422785,7.817235816760283
DAL,0.04957685794900445,0.022195556803661233,-0.16489672174348552,0.5450904551236069,1.7815946786007022,-2.449294219724834,-0.04628308698096696,0.014661875673953228,5.888326168712228,0.6352149465162418,-0.352105070061653,1.2731687062228207,-0.020119748396032,0.18682387401075923,-0.24735460429835826,5.536221098650575,1.9083836527390625,7.197250147091279
PIT,0.040797398863908124,0.08296031121383696,0.3836586610359304,0.307201091419248,1.7115405982250678,-2.618445405900917,0.21680151166065648,-0.14723192032371812,4.333387097173973,2.234943310363109,-1.5689700579763775,1.9598658392781065,-0.05648653349455665,0.12306311533731573,-0.02271775380598723,2.7644170391975953,4.194809149641215,6.936508435032823
JAX,-0.12065555285662412,-0.0371424960386422,-0.2447093091491196,0.4405302309327655,1.412032920996555,-1.3328991126424323,-0.4285679259466836,-0.3422459872232543,4.372544213953532,-1.883890078196095,1.3177186186916918,1.6542290521785619,-0.09695493049091763,0.04093612233797709,-0.6536572319274356,5.690262832645224,-0.22966102601753313,4.806944574700255
SEA,0.03633471940540605,0.02222468890249729,-0.03200024014545812,0.2599658189962308,1.7741329825612613,-2.654539628502809,-1.1135154591821548,0.5833226798050519,2.2029010631868413,2.129328161783309,-2.5772949269403598,3.531687687989324,-0.1413925166034864,0.08219882763094372,-1.1240744381599748,-0.37439386375351846,5.6610158497726335,4.162547547859141
CLE,-0.016729582101106644,-0.03964348114095628,0.2234696812229231,-0.1861027845181525,4.16965353913838,-1.9773983202758245,-0.398782471047889,1.2230432821437716,1.2676569013274275,-0.47516210847534246,-1.1416191782802343,1.2629668302601205,-0.077838047221303,0.0,2.997509863421146,0.12603772304719318,0.787804721784778,3.911352308253117
NYG,-0.08051964407786727,-0.03827663771808147,-0.22590806148946285,0.3998986754566431,2.432526280609891,-2.2280333059246185,-0.6933619038201868,0.39163387356791646,-0.5434407663857564,0.759518938320107,-0.03907877317164086,2.5531842975411565,-0.11270689360797406,0.052333765998482704,-0.042040723395766144,-0.5825195395573973,3.3127032358612634,2.6881429729081
